Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
YS Chahal,2013-2023,145,144,3173,528.5,4,4056,187,5/40,21.68,7.66,16.96,6,1.0
DJ Bravo,2008-2022,161,158,3119,519.5,3,4360,183,4/22,23.82,8.38,17.04,2,
PP Chawla,2008-2023,181,180,3640,606.4,2,4796,179,4/17,26.79,7.9,20.33,2,
A Mishra,2008-2023,161,161,3359,559.5,6,4125,173,5/17,23.84,7.36,19.41,4,1.0
R Ashwin,2009-2023,197,194,4194,699.0,4,4902,171,4/34,28.66,7.01,24.52,1,
SL Malinga,2009-2019,122,122,2827,471.1,8,3365,170,5/13,19.79,7.14,16.62,6,1.0
B Kumar,2011-2023,160,160,3568,594.4,12,4396,170,5/19,25.85,7.39,20.98,2,2.0
SP Narine,2012-2023,162,161,3745,624.1,3,4203,163,5/19,25.78,6.73,22.97,7,1.0
RA Jadeja,2008-2023,226,197,3547,591.1,2,4495,152,5/16,29.57,7.6,23.33,3,1.0
Harbhajan Singh,2008-2021,163,160,3416,569.2,6,4030,150,5/18,26.86,7.07,22.77,1,1.0
JJ Bumrah,2013-2022,120,120,2742,457.0,8,3379,145,5/10,23.3,7.39,18.91,2,1.0
Rashid Khan,2017-2023,109,109,2597,432.5,4,2885,139,4/24,20.75,6.66,18.68,2,
UT Yadav,2010-2023,141,140,2924,487.2,5,4107,136,4/23,30.19,8.42,21.5,3,
Mohammed Shami,2013-2023,110,110,2426,404.2,3,3412,127,4/11,26.86,8.43,19.1,2,
Sandeep Sharma,2013-2023,116,116,2594,432.2,8,3398,124,4/20,27.4,7.85,20.91,2,
MM Sharma,2013-2023,100,100,2019,336.3,0,2831,119,5/10,23.78,8.41,16.96,3,1.0
AR Patel,2014-2023,136,134,2835,472.3,2,3421,112,4/21,30.54,7.24,25.31,1,
HV Patel,2012-2023,92,89,1867,311.1,2,2672,111,5/27,24.07,8.58,16.81,2,1.0
K Rabada,2017-2023,69,69,1566,261.0,2,2198,106,4/21,20.73,8.42,14.77,6,
A Nehra,2008-2017,88,88,1908,318.0,2,2495,106,4/10,23.53,7.84,18.0,1,1.0
TA Boult,2015-2023,88,88,2017,336.1,11,2787,105,4/18,26.54,8.29,19.2,1,1.0
R Vinay Kumar,2008-2018,105,104,2122,353.4,1,2966,105,4/40,28.24,8.38,20.2,1,
Z Khan,2008-2017,100,99,2200,366.4,5,2782,102,4/17,27.27,7.58,21.56,1,
