Team1,Team2,Winner,Margin,Ground,Date,Scorecard
South Africa,New Zealand,New Zealand,5 wickets,Johannesburg,"Oct 21, 2005",T20I # 3
England,Australia,England,100 runs,Southampton,"Jun 13, 2005",T20I # 2
New Zealand,Australia,Australia,44 runs,Auckland,"Feb 17, 2005",T20I # 1
New Zealand,Sri Lanka,New Zealand,5 wickets,Auckland,"Dec 26, 2006",T20I # 12
New Zealand,Sri Lanka,Sri Lanka,18 runs,Wellington,"Dec 22, 2006",T20I # 11
South Africa,India,India,6 wickets,Johannesburg,"Dec 1, 2006",T20I # 10
Bangladesh,Zimbabwe,Bangladesh,43 runs,Khulna,"Nov 28, 2006",T20I # 9
England,Pakistan,Pakistan,5 wickets,Bristol,"Aug 28, 2006",T20I # 8
England,Sri Lanka,Sri Lanka,2 runs,Southampton,"Jun 15, 2006",T20I # 7
South Africa,Australia,South Africa,2 runs,Johannesburg,"Feb 24, 2006",T20I # 6
New Zealand,West Indies,tied,-,Auckland,"Feb 16, 2006",T20I # 5
Australia,South Africa,Australia,95 runs,Brisbane,"Jan 9, 2006",T20I # 4
South Africa,West Indies,West Indies,5 wickets,Gqeberha,"Dec 16, 2007",T20I # 50
Australia,New Zealand,Australia,54 runs,Perth,"Dec 11, 2007",T20I # 49
South Africa,New Zealand,South Africa,3 wickets,Johannesburg,"Nov 23, 2007",T20I # 48
India,Australia,India,7 wickets,Brabourne,"Oct 20, 2007",T20I # 47
India,Pakistan,India,5 runs,Johannesburg,"Sep 24, 2007",T20I # 46
Australia,India,India,15 runs,Durban,"Sep 22, 2007",T20I # 45
New Zealand,Pakistan,Pakistan,6 wickets,Cape Town,"Sep 22, 2007",T20I # 44
South Africa,India,India,37 runs,Durban,"Sep 20, 2007",T20I # 43
Bangladesh,Pakistan,Pakistan,4 wickets,Cape Town,"Sep 20, 2007",T20I # 42
Australia,Sri Lanka,Australia,10 wickets,Cape Town,"Sep 20, 2007",T20I # 41
England,India,India,18 runs,Durban,"Sep 19, 2007",T20I # 40
South Africa,New Zealand,South Africa,6 wickets,Durban,"Sep 19, 2007",T20I # 39
Bangladesh,Sri Lanka,Sri Lanka,64 runs,Johannesburg,"Sep 18, 2007",T20I # 38
Australia,Pakistan,Pakistan,6 wickets,Johannesburg,"Sep 18, 2007",T20I # 37
England,New Zealand,New Zealand,5 runs,Durban,"Sep 18, 2007",T20I # 36
Pakistan,Sri Lanka,Pakistan,33 runs,Johannesburg,"Sep 17, 2007",T20I # 35
South Africa,England,South Africa,19 runs,Cape Town,"Sep 16, 2007",T20I # 34
Australia,Bangladesh,Australia,9 wickets,Cape Town,"Sep 16, 2007",T20I # 33
India,New Zealand,New Zealand,10 runs,Johannesburg,"Sep 16, 2007",T20I # 32
South Africa,Bangladesh,South Africa,7 wickets,Cape Town,"Sep 15, 2007",T20I # 31
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Johannesburg,"Sep 15, 2007",T20I # 30
India,Pakistan,tied,-,Durban,"Sep 14, 2007",T20I # 29
Australia,England,Australia,8 wickets,Cape Town,"Sep 14, 2007",T20I # 28
Kenya,Sri Lanka,Sri Lanka,172 runs,Johannesburg,"Sep 14, 2007",T20I # 27
India,Scotland,no result,-,Durban,"Sep 13, 2007",T20I # 26
England,Zimbabwe,England,50 runs,Cape Town,"Sep 13, 2007",T20I # 25
Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg,"Sep 13, 2007",T20I # 24
Australia,Zimbabwe,Zimbabwe,5 wickets,Cape Town,"Sep 12, 2007",T20I # 23
Pakistan,Scotland,Pakistan,51 runs,Durban,"Sep 12, 2007",T20I # 22
Kenya,New Zealand,New Zealand,9 wickets,Durban,"Sep 12, 2007",T20I # 21
South Africa,West Indies,South Africa,8 wickets,Johannesburg,"Sep 11, 2007",T20I # 20
Kenya,Pakistan,Pakistan,8 wickets,Nairobi (Gym),"Sep 4, 2007",T20I # 19
Bangladesh,Pakistan,Pakistan,30 runs,Nairobi (Gym),"Sep 2, 2007",T20I # 18
Kenya,Bangladesh,Bangladesh,5 wickets,Nairobi (Gym),"Sep 1, 2007",T20I # 17
England,West Indies,England,5 wickets,The Oval,"Jun 29, 2007",T20I # 16
England,West Indies,West Indies,15 runs,The Oval,"Jun 28, 2007",T20I # 15
South Africa,Pakistan,South Africa,10 wickets,Johannesburg,"Feb 2, 2007",T20I # 14
Australia,England,Australia,77 runs,Sydney,"Jan 9, 2007",T20I # 13
New Zealand,West Indies,New Zealand,36 runs,Hamilton,"Dec 28, 2008",T20I # 79
New Zealand,West Indies,tied,-,Auckland,"Dec 26, 2008",T20I # 78
South Africa,Bangladesh,South Africa,12 runs,Johannesburg,"Nov 5, 2008",T20I # 77
Pakistan,Sri Lanka,Sri Lanka,5 wickets,King City (NW),"Oct 13, 2008",T20I # 76
Canada,Zimbabwe,Zimbabwe,109 runs,King City (NW),"Oct 13, 2008",T20I # 75
Canada,Sri Lanka,Sri Lanka,15 runs,King City (NW),"Oct 12, 2008",T20I # 74
Pakistan,Zimbabwe,Pakistan,7 wickets,King City (NW),"Oct 12, 2008",T20I # 73
Pakistan,Sri Lanka,Pakistan,3 wickets,King City (NW),"Oct 11, 2008",T20I # 72
Canada,Zimbabwe,tied,-,King City (NW),"Oct 11, 2008",T20I # 71
Canada,Pakistan,Pakistan,35 runs,King City (NW),"Oct 10, 2008",T20I # 70
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,King City (NW),"Oct 10, 2008",T20I # 69
Ireland,Netherlands,no result,-,Belfast,"Aug 5, 2008",T20I # 68
Bermuda,Canada,Canada,8 wickets,Belfast,"Aug 5, 2008",T20I # 67
Kenya,Scotland,Scotland,9 wickets,Belfast,"Aug 4, 2008",T20I # 66
Netherlands,Scotland,Netherlands,5 wickets,Belfast,"Aug 4, 2008",T20I # 65
Ireland,Kenya,Ireland,4 wickets,Belfast,"Aug 4, 2008",T20I # 64
Ireland,Bermuda,Ireland,4 runs,Belfast,"Aug 3, 2008",T20I # 63
Canada,Kenya,Kenya,4 wickets,Belfast,"Aug 3, 2008",T20I # 62
Bermuda,Scotland,Scotland,8 wickets,Belfast,"Aug 3, 2008",T20I # 61
Canada,Netherlands,Canada,4 wickets,Belfast,"Aug 2, 2008",T20I # 60
Ireland,Scotland,Ireland,4 wickets,Belfast,"Aug 2, 2008",T20I # 59
Kenya,Netherlands,Netherlands,19 runs,Belfast,"Aug 2, 2008",T20I # 58
West Indies,Australia,West Indies,7 wickets,Bridgetown,"Jun 20, 2008",T20I # 57
England,New Zealand,England,9 wickets,Manchester,"Jun 13, 2008",T20I # 56
Pakistan,Bangladesh,Pakistan,102 runs,Karachi,"Apr 20, 2008",T20I # 55
New Zealand,England,England,50 runs,Christchurch,"Feb 7, 2008",T20I # 54
New Zealand,England,England,32 runs,Auckland,"Feb 5, 2008",T20I # 53
Australia,India,Australia,9 wickets,Melbourne,"Feb 1, 2008",T20I # 52
South Africa,West Indies,South Africa,4 wickets,Johannesburg,"Jan 18, 2008",T20I # 51
India,Sri Lanka,India,6 wickets,Mohali,"Dec 12, 2009",T20I # 127
India,Sri Lanka,Sri Lanka,29 runs,Nagpur,"Dec 9, 2009",T20I # 126
South Africa,England,South Africa,84 runs,Centurion,"Nov 15, 2009",T20I # 125
New Zealand,Pakistan,Pakistan,7 runs,Dubai (DICS),"Nov 13, 2009",T20I # 123
South Africa,England,England,1 run,Johannesburg,"Nov 13, 2009",T20I # 124
New Zealand,Pakistan,Pakistan,49 runs,Dubai (DICS),"Nov 12, 2009",T20I # 122
Sri Lanka,New Zealand,New Zealand,22 runs,Colombo (RPS),"Sep 4, 2009",T20I # 121
Sri Lanka,New Zealand,New Zealand,3 runs,Colombo (RPS),"Sep 2, 2009",T20I # 120
England,Australia,no result,-,Manchester,"Aug 30, 2009",T20I # 119
Sri Lanka,Pakistan,Pakistan,52 runs,Colombo (RPS),"Aug 12, 2009",T20I # 118
West Indies,Bangladesh,West Indies,5 wickets,Basseterre,"Aug 2, 2009",T20I # 117
Pakistan,Sri Lanka,Pakistan,8 wickets,Lord's,"Jun 21, 2009",T20I # 116
Sri Lanka,West Indies,Sri Lanka,57 runs,The Oval,"Jun 19, 2009",T20I # 115
Pakistan,South Africa,Pakistan,7 runs,Nottingham,"Jun 18, 2009",T20I # 114
India,South Africa,South Africa,12 runs,Nottingham,"Jun 16, 2009",T20I # 113
New Zealand,Sri Lanka,Sri Lanka,48 runs,Nottingham,"Jun 16, 2009",T20I # 112
England,West Indies,West Indies,5 wickets,The Oval,"Jun 15, 2009",T20I # 111
Ireland,Pakistan,Pakistan,39 runs,The Oval,"Jun 15, 2009",T20I # 110
England,India,England,3 runs,Lord's,"Jun 14, 2009",T20I # 109
Ireland,Sri Lanka,Sri Lanka,9 runs,Lord's,"Jun 14, 2009",T20I # 108
New Zealand,Pakistan,Pakistan,6 wickets,The Oval,"Jun 13, 2009",T20I # 107
South Africa,West Indies,South Africa,20 runs,The Oval,"Jun 13, 2009",T20I # 106
India,West Indies,West Indies,7 wickets,Lord's,"Jun 12, 2009",T20I # 105
Pakistan,Sri Lanka,Sri Lanka,19 runs,Lord's,"Jun 12, 2009",T20I # 104
England,South Africa,South Africa,7 wickets,Nottingham,"Jun 11, 2009",T20I # 103
Ireland,New Zealand,New Zealand,83 runs,Nottingham,"Jun 11, 2009",T20I # 102
India,Ireland,India,8 wickets,Nottingham,"Jun 10, 2009",T20I # 101
Sri Lanka,West Indies,Sri Lanka,15 runs,Nottingham,"Jun 10, 2009",T20I # 100
New Zealand,South Africa,South Africa,1 run,Lord's,"Jun 9, 2009",T20I # 99
