Company Name,Market Cap,Revenue
Microsoft Corporation,"3,142.04B",227.58B
Apple Inc,"2,638.25B",385.71B
NVIDIA Corporation,"2,314.03B",60.92B
Alphabet Inc.,"1,879.86B",307.39B
"Amazon.com, Inc.","1,866.72B",574.79B
"Meta Platforms, Inc.","1,282.40B",134.90B
Berkshire Hathaway Inc.,891.67B,439.34B
Eli Lilly and Company,735.08B,34.12B
Taiwan Semiconductor Manufacturing Company Limited,723.02B,70.35B
Broadcom Inc.,626.35B,38.87B
Visa Inc.,581.20B,33.35B
Novo Nordisk A/S,580.33B,34.41B
JPMorgan Chase & Co.,563.77B,158.10B
"Tesla, Inc.",549.79B,96.77B
Walmart Inc.,488.08B,648.13B
Exxon Mobil Corporation,454.91B,344.58B
UnitedHealth Group Incorporated,450.93B,371.62B
Mastercard Incorporated,444.09B,25.10B
ASML Holding N.V.,386.81B,30.62B
The Procter & Gamble Company,377.78B,83.93B
"The Home Depot, Inc.",376.52B,152.67B
Johnson & Johnson,374.05B,85.16B
Oracle Corporation,347.60B,52.51B
Toyota Motor Corporation,343.90B,308.27B
Costco Wholesale Corporation,324.18B,248.83B
"Merck & Co., Inc.",317.37B,60.12B
AbbVie Inc.,317.35B,54.32B
"Salesforce, Inc.",296.88B,34.86B
Bank of America Corporation,292.66B,98.58B
Chevron Corporation,288.38B,200.95B
"Advanced Micro Devices, Inc.",285.43B,22.68B
"Netflix, Inc.",269.74B,33.72B
The Coca-Cola Company,261.00B,45.75B
"PepsiCo, Inc.",237.24B,91.47B
"Fomento Económico Mexicano, SAB de CV",233.84B,34.56B
SAP SE,230.84B,33.78B
Adobe Inc.,229.54B,19.41B
Linde plc,224.85B,32.85B
The Walt Disney Company,218.94B,88.94B
Thermo Fisher Scientific Inc.,218.71B,42.86B
Shell plc,216.04B,323.18B
Accenture plc,211.50B,64.57B
AstraZeneca PLC,207.09B,45.81B
McDonald's Corporation,201.18B,25.49B
Wells Fargo & Company,200.85B,82.60B
"Cisco Systems, Inc.",200.64B,57.23B
Novartis AG,196.01B,46.66B
"T-Mobile US, Inc.",191.30B,78.56B
Abbott Laboratories,190.89B,40.11B
General Electric Company,188.94B,67.95B
QUALCOMM Incorporated,187.00B,36.29B
Danaher Corporation,183.52B,23.89B
Alibaba Group Holding Limited,179.78B,130.82B
Intuit Inc.,178.93B,15.09B
Caterpillar Inc.,177.75B,67.06B
Intel Corporation,177.53B,54.23B
International Business Machines Corporation,173.07B,61.86B
"Applied Materials, Inc.",171.72B,26.49B
Verizon Communications Inc.,171.69B,133.97B
Comcast Corporation,168.92B,121.57B
"Uber Technologies, Inc.",164.89B,37.28B
American Express Company,162.75B,55.59B
"ServiceNow, Inc.",160.94B,8.97B
PDD Holdings Inc.,159.26B,34.93B
TotalEnergies SE,157.59B,218.95B
