id,gender,product
1,Male,Tea - Mint
2,Male,"Pasta - Gnocchi, Potato"
3,Male,Bay Leaf
4,Male,Strawberries - California
5,Male,Cheese - Grie Des Champ
6,Male,Sachet
7,Female,Sauce - Mint
8,Female,Chocolate Liqueur - Godet White
9,Male,"Sauce - Soya, Light"
10,Female,"Lemonade - Island Tea, 591 Ml"
11,Male,True - Vue Containers
12,Male,Coffee - Almond Amaretto
13,Male,Bread - Frozen Basket Variety
14,Female,"Soup - Campbells, Lentil"
15,Female,Bouillion - Fish
16,Male,"Ice - Clear, 300 Lb For Carving"
17,Male,Thermometer Digital
18,Female,"Marjoram - Dried, Rubbed"
19,Female,Vaccum Bag 10x13
20,Female,Wine - Zonnebloem Pinotage
21,Male,Pork - Ground
22,Female,"Bread - Dark Rye, Loaf"
23,Male,Coffee - Frthy Coffee Crisp
24,Male,"Mushroom - Enoki, Dry"
25,Male,Bread - Italian Corn Meal Poly
26,Female,Steel Wool S.o.s
27,Male,Tahini Paste
28,Male,Coffee - Almond Amaretto
29,Genderqueer,"Pasta - Cappellini, Dry"
30,Male,Soup - Campbells Beef Strogonoff
31,Female,"Bread - Bagels, Plain"
32,Female,Garam Masala Powder
33,Female,Cream Of Tartar
34,Female,Wine - Ruffino Chianti
35,Male,Cheese - Augre Des Champs
36,Genderfluid,Table Cloth 81x81 Colour
37,Male,Lobak
38,Non-binary,"Spoon - Soup, Plastic"
39,Female,Sultanas
40,Male,Wine - Cava Aria Estate Brut
41,Male,Marzipan 50/50
42,Male,Longos - Lasagna Veg
43,Male,Soup Campbells Turkey Veg.
44,Female,Shiratamako - Rice Flour
45,Bigender,Juice - Apple 284ml
46,Male,Wine - Alsace Riesling Reserve
47,Female,Pastry - Chocolate Marble Tea
48,Female,Wood Chips - Regular
49,Male,Breakfast Quesadillas
50,Genderqueer,Ice Cream Bar - Drumstick
